Power(watts),Distance(metres),Heartrate(BPM),Speed(m/s),WindSpeed (m/s),Cadaence(revs/s),Elevation(meters),Hill slope(%),Temperature(C),Cluster
282.79,11475,172,3.0399,0,1,598.02,12.48,21.111,A
287.86,11475,172,3.0399,0,1,599.54,12.28,21.111,A
285.92,11475,172,3.0399,0,1,599.54,11.98,21.111,A
286.93,11475,172,3.0399,0,1,599.54,12.18,21.111,A
289.87,11475,172,2.9505,0,0.98333,599.54,12.79,21.111,A
301.87,11491,172,2.9505,0,0.96667,601.07,13.39,21.111,A
308.88,11491,172,2.9058,0,0.96667,601.07,13.89,21.111,A
316.01,11491,172,2.9505,0,0.96667,601.07,14.39,21.111,A
317.03,11491,172,2.9505,0,0.98333,601.07,14.39,21.111,A
315.18,11491,172,2.9952,1.4752,0.98333,602.59,14,21.111,A
311.14,11491,172,2.9505,1.7435,0.98333,602.59,13.9,21.111,A
305.17,11507,172,2.9505,0,0.96667,602.59,13.6,21.111,A
308.2,11507,172,2.9058,0,0.95,602.59,13.7,21.111,A
309.13,11507,172,2.861,1.3411,0.93333,602.89,14.1,21.111,A
306.16,11507,173,2.8163,0,0.91667,602.89,14.21,21.111,A
304.11,11507,172,2.7716,1.5646,0.91667,602.89,14.51,21.111,A
300.21,11507,173,2.8163,1.5646,0.93333,602.89,14.01,21.111,A
292.33,11523,173,2.8163,0,0.93333,604.11,13.52,21.111,A
282.51,11523,172,2.9058,0,0.96667,604.11,12.72,21.111,A
275.62,11523,173,2.9505,0,0.96667,604.11,12.02,21.111,A
272.74,11523,173,2.9505,0,0.96667,604.11,11.73,21.111,A
266.71,11523,173,2.9058,0,0.96667,605.03,11.43,21.111,A
280.88,11539,173,2.9952,0,1,605.03,11.83,21.111,A
281.08,11539,173,3.0399,0,1.0167,605.03,11.84,21.111,A
283.11,11539,173,3.0399,0,0.98333,605.03,12.14,21.111,A
285.98,11539,173,2.9505,0,0.98333,606.55,12.54,21.111,A
296.1,11539,173,2.9505,0,0.98333,606.55,12.94,21.111,A
307.16,11555,173,2.9952,0,0.98333,606.55,13.54,21.111,A
307.2,11555,173,2.9952,0,1,606.55,13.55,21.111,A
307.39,11555,173,3.0399,0,0.98333,608.08,13.75,21.111,A
303.35,11555,173,2.9952,0,0.98333,608.08,13.45,21.111,A
301.3,11555,174,2.9505,0,0.96667,608.08,13.35,21.111,A
294.25,11555,173,2.9058,0,0.96667,608.08,13.26,21.111,A
298.36,11571,174,2.9058,0,0.96667,609.9,13.36,21.111,A
290.47,11571,173,2.9505,0,0.96667,609.9,13.06,21.111,A
276.6,11571,174,2.9952,0,1,609.9,12.16,21.111,A
261.89,11571,174,3.0846,0,1.0167,609.9,11.07,21.111,A
249.11,11571,174,3.174,0,1.05,612.04,9.87,21.111,A
245.23,11587,173,3.2187,0,1.05,612.04,9.17,21.111,A
236.25,11587,173,3.2187,0,1.0667,612.04,8.87,21.111,A
228.53,11587,173,3.3081,0,1.1,612.04,8.48,21.111,A
217.64,11587,173,3.3528,0,1.1,612.95,8.08,21.111,A
215.77,11587,173,3.3975,0,1.1167,612.95,7.68,21.111,A
213.88,11603,173,3.4422,0,1.1333,612.95,7.28,21.111,A
205.06,11603,173,3.4869,0,1.15,612.95,7.08,21.111,A
202.16,11603,173,3.5316,2.414,1.1167,615.39,7.18,21.111,A
211.18,11603,173,3.5316,1.8776,1.0333,615.39,7.08,21.111,A
225.43,11603,172,3.621,1.9223,1.05,615.39,7.39,21.111,A
235.45,11619,172,3.621,2.8163,1.0667,615.39,7.89,21.111,A
249.64,11619,172,3.7104,1.8776,1.0833,616,8.29,20.556,A
265.78,11619,173,3.7551,1.9223,1.1,616,8.89,20.556,A
279.89,11619,172,3.7998,2.3693,1.1167,616,9.09,20.556,A
278.9,11636,172,3.7998,2.2352,1.1167,616,9.39,20.556,A
275.92,11636,173,3.7998,2.3246,1.1167,617.22,9.39,20.556,A
278.07,11636,173,3.8445,3.4869,1.1167,617.22,9.19,20.556,A
269.11,11636,173,3.8445,2.414,1.1333,617.22,8.89,20.556,A
259.14,11652,173,3.8445,2.6375,1.1333,617.22,8.4,20.556,A
241.28,11652,172,3.8892,3.0399,1.1333,618.74,7.8,20.556,A
228.41,11652,173,3.9339,2.6822,1.15,618.74,6.9,20.556,A
199.63,11652,172,4.0233,2.0564,1.1333,618.74,5.8,20.556,A
188.78,11668,173,4.0681,2.3693,1.0667,618.74,4.7,20.556,A
170.39,11668,172,4.3363,2.9058,1.1167,620.57,3.4,20.556,G
140.79,11668,172,4.5151,1.8776,1.1667,620.57,2,20.556,G
129.7,11668,172,4.9174,3.2187,1.1333,620.57,0.6,20.556,G
117.75,11684,172,5.4092,3.7104,1.2833,620.57,-1.2,20.556,G
107.04,11684,172,5.9903,3.1293,1.3,621.18,-2.3,20.556,G
125.97,11700,172,6.4374,4.0681,1.3333,621.18,-2.8,20.556,G
156.69,11700,172,6.7503,3.9339,1.4,621.18,-2.3,20.556,G
167.22,11700,172,7.0185,5.4539,1.45,621.18,-1.2,20.556,G
147.44,11716,172,7.1079,4.381,1.4667,622.1,-0.3,20.556,G
151.56,11716,171,7.1973,4.9174,1.5,622.1,0.5,20.556,G
163.57,11732,171,7.242,4.1128,1.5,622.1,1.1,20.556,G
176.19,11732,172,7.0632,5.4986,1.4667,622.1,2,20.556,G
207.8,11748,171,6.9291,4.2469,1.4333,623.62,3.5,20.556,G
232.33,11748,171,6.7503,4.0233,1.3833,623.62,5.09,20.556,G
253.56,11748,171,6.3927,2.8163,1.3167,623.62,6.59,20.556,G
225.65,11764,171,5.9903,3.8445,1.25,623.62,7.49,20.556,G
316.8,11764,171,5.588,3.4869,1.1667,624.23,8.59,20.556,G
355.96,11780,171,5.6774,2.414,1.1833,624.23,9.09,20.556,E
388.8,11780,171,5.588,2.7716,1.1667,624.23,9.8,20.556,E
427.64,11780,171,5.4986,2.8163,1.1333,624.23,10.7,20.556,E
433.49,11796,172,5.4092,1.8776,1.1167,625.14,11.1,20.556,E
433.44,11796,171,5.3645,2.3693,1.1167,625.14,11.1,20.556,E
456.53,11796,172,5.3645,1.9223,1.1167,625.14,11.2,20.556,E
475.55,11813,171,5.3198,1.5199,1.1,625.14,11.41,20.556,E
489.51,11813,171,5.2304,0,1.0833,626.06,11.61,20.556,E
501.55,11813,172,5.2304,0,1.0833,626.06,12.51,20.556,E
487.73,11829,171,5.2304,0,1.0833,626.06,12.62,20.556,E
484.98,11829,172,5.2304,1.5646,1.0833,626.06,12.32,20.556,E
469.24,11829,171,5.2751,1.7882,1.0833,627.28,11.43,20.556,E
448.78,11845,172,5.3645,1.6987,1.1,627.28,10.23,20.556,E
447.2,11845,172,5.4092,1.8329,1.1333,627.28,9.54,20.556,E
376.32,11845,173,5.7221,1.4305,1.1833,627.28,8.45,20.556,E
267.09,11861,172,5.5433,1.4752,1.15,628.19,7.35,20.556,G
177.75,11861,173,5.2751,0,1.1,628.19,5.86,20.556,G
119.52,11861,173,5.0515,1.3411,1.05,628.19,4.17,20.556,G
80.97,11861,173,4.7833,0,1.0167,628.19,2.57,20.556,G
57.01,11877,173,4.6939,0,0.98333,628.5,1.38,20.556,G
13.29,11877,172,4.6939,1.4305,0.98333,628.5,0.09,20.556,G
14.06,11877,173,4.9174,1.4752,0.96667,628.5,-1.31,20.556,G
15.36,11893,172,5.2751,2.1458,0.91667,628.5,-2.7,20.556,G
17.06,11893,172,5.7668,2.3246,0.85,628.19,-3.99,20.556,G
18.93,11893,172,6.3032,2.9058,0.5,628.19,-5.38,20.556,G
0,11909,172,6.8397,3.2634,0,628.19,-6.08,20.556,B
0,11909,172,7.3314,3.2187,0,628.19,-5.97,20.556,B
24.43,11925,172,7.6891,4.9621,1.5667,627.89,-5.86,20.556,G
26.57,11925,171,8.1808,5.5433,1.1833,627.89,-5.95,20.556,G
29.13,11941,171,8.8961,7.0185,0.3,627.89,-6.65,20.556,G
0,11941,171,9.5666,6.6609,0,627.89,-7.94,20.556,B
0,11957,170,10.416,8.002,0,626.67,-9.43,20.556,B
0,11973,170,11.31,8.1808,0,626.67,-9.72,20.556,B
0,11990,169,11.936,9.2984,0,626.67,-9.42,20.556,B
0,11990,169,12.115,9.8796,0,626.67,-8.42,20.556,B
85.33,12006,169,12.115,9.7454,0.85,626.06,-6.43,20.556,G
113.1,12022,168,12.07,8.762,2.2667,626.06,-4.43,20.556,G
141.96,12038,168,12.025,8.449,1.2333,626.06,-2.53,20.556,G
162.01,12038,167,11.757,7.4208,0.85,626.06,-0.84,20.556,G
37.17,12054,167,11.31,6.8844,0.56667,625.14,-0.05,20.556,G
0,12070,166,11.265,8.3149,0,625.14,-0.36,20.556,B
0,12070,166,11.534,10.416,0,625.14,-1.38,20.556,B
0,12086,165,11.712,11.31,0,625.14,-2.29,20.556,B
0,12102,165,11.668,11.444,0,623.62,-2.52,20.556,B
0,12118,164,11.534,12.07,0,623.62,-2.13,20.556,B
0,12118,164,11.265,11.981,0,623.62,-1.35,20.556,B
0,12134,164,11.087,11.31,0,623.62,-1.16,20.556,B
0,12151,163,10.997,10.595,0,621.49,-1.78,20.556,B
0,12151,163,11.042,10.505,0,621.49,-2.99,20.556,B
0,12167,162,11.757,10.058,0,621.49,-4.51,20.556,B
0,12183,161,12.562,9.0302,0,621.49,-6.43,20.556,B
0,12199,160,12.83,9.8796,0,619.35,-7.85,20.556,B
0,12199,160,12.696,9.3878,0,619.35,-8.07,20.556,B
0,12215,159,13.009,8.9855,0,619.35,-7.49,20.556,B
0,12231,159,13.277,8.8514,0,619.35,-6.02,20.556,B
0,12247,158,13.456,9.7454,0,616.92,-4.54,20.556,B
0,12263,158,13.501,11.087,0,616.92,-3.56,20.556,B
0,12279,157,13.456,11.042,0,616.92,-2.89,20,B
0,12279,156,13.59,11.534,0,616.92,-3.52,20,B
0,12295,156,13.814,10.595,0,615.39,-3.87,20,B
0,12311,155,13.769,11.891,0,615.39,-3.8,20,B
0,12328,155,13.366,12.919,0,615.39,-3.12,20,B
0,12344,154,12.875,11.847,0,615.39,-1.46,20,B
0,12360,153,12.204,11.802,0,612.95,0.31,20,B
0,12360,153,11.534,10.103,0,612.95,2.09,20,B
0,12376,152,10.595,9.1643,0,612.95,3.77,20,B
32.41,12392,151,9.9243,8.9408,0.51667,612.95,4.55,20,G
73.41,12392,151,9.6113,8.8514,1.3833,612.34,4.13,20,G
106.2,12408,151,9.5666,8.7173,1.3667,612.34,3.12,20,G
137.11,12408,150,9.4325,8.4043,1.3667,612.34,2.11,20,G
149.4,12424,150,9.1643,8.2702,1.3167,612.34,1.9,20,G
167.13,12424,150,8.7173,7.1973,1.2667,612.34,2.68,20,G
177.61,12440,149,8.3149,7.1079,1.2,612.34,3.48,20,G
178.38,12440,149,8.002,6.9738,1.15,612.34,4.46,20,G
179.91,12456,148,7.4208,5.1857,1.0833,612.34,5.56,20,G
205.59,12456,148,6.9738,6.4374,1.0167,612.65,5.95,20,G
212.61,12472,148,6.7056,5.588,0.96667,612.65,6.24,20,G
202.02,12472,148,6.795,7.0632,0.96667,612.65,5.24,20,G
174.39,12488,148,7.1079,7.9573,1,612.65,3.54,20,G
148.83,12488,147,7.1973,8.2702,1.05,612.65,1.73,20,G
140.9,12505,147,7.5103,8.7173,1.1,612.65,-0.08,20,G
147.21,12505,146,7.8232,9.4325,1.1167,612.65,-1.38,20,G
149.64,12505,146,8.002,9.3878,1.15,612.65,-2.28,20,G
158.92,12521,145,8.2255,9.209,1.1667,612.65,-2.79,20,G
145.31,12537,145,8.4937,9.2537,1.2333,612.65,-3.29,20,G
141.5,12537,145,8.762,8.449,1.2667,612.65,-3.79,20,G
140.56,12553,144,9.0749,9.2537,1.3167,612.65,-4,20,G
120.05,12553,144,9.1643,9.209,1.3167,612.34,-3.8,20,G
116.59,12569,144,9.209,8.6726,1.3333,612.34,-3.11,20,G
124.01,12569,144,9.4325,9.2984,1.3667,612.34,-3.01,20,G
124.87,12585,143,9.7454,8.5384,1.4167,612.34,-3.11,20,G
71.66,12601,143,10.058,8.0467,1.45,611.43,-3.92,20,G
83.24,12601,143,10.416,7.9573,1.5,611.43,-4.73,20,G
100.9,12617,143,10.684,8.0914,1.5333,611.43,-4.64,20,G
118.54,12633,142,10.774,8.8067,1.55,611.43,-4.04,20,G
130.86,12633,142,10.729,10.103,1.5333,611.12,-2.75,20,G
143.49,12649,142,10.55,10.014,1.5,611.12,-1.06,20,G
136.62,12666,141,10.192,9.9243,1.45,611.12,0.63,20,G
138.63,12666,141,9.7902,10.014,1.4167,611.12,1.23,20,G
146.12,12682,140,9.7007,9.5219,1.4,609.9,1.22,20,G
150,12682,140,9.4772,10.148,1.3667,609.9,1.11,20,G
119.05,12698,140,9.209,10.55,1.3333,609.9,0.2,20,G
121.91,12698,140,9.2537,11.355,1.3333,609.9,-0.8,20,G
122.36,12714,139,9.5666,11.31,1.3667,609.6,-1.81,20,G
150.14,12730,139,9.7902,11.578,1.4167,609.6,-3.62,20,G
176.52,12730,139,10.014,10.55,1.4333,609.6,-4.32,20,G
194.27,12746,139,9.9243,9.969,1.4333,609.6,-4.13,20,G
173.08,12762,139,9.8349,9.209,1.4167,609.6,-3.23,20,G
186.83,12762,138,9.7902,9.1196,1.4,609.6,-1.94,20,G
180.68,12778,138,9.7454,9.3878,1.4,609.6,-1.14,20,G
166.62,12778,138,9.7007,9.209,1.4,609.6,-1.15,20,G
154.49,12794,138,9.7454,9.3878,1.4,609.3,-1.25,20,G
161.29,12810,138,9.7902,9.209,1.4,609.3,-1.15,20,G
154.63,12810,138,9.7454,9.1196,1.4,609.3,-1.44,20,G
146.57,12826,138,9.7902,9.209,1.4167,609.3,-1.94,20,G
187.33,12826,138,9.969,10.148,1.4333,608.38,-1.74,20,G
192.71,12843,138,9.969,9.6113,1.4333,608.38,-1.43,20,G
194.89,12859,138,9.656,8.9855,1.3833,608.38,-0.43,20,G
193.05,12859,138,9.4325,8.8067,1.3667,608.38,0.58,20,G
200.5,12875,138,9.4325,8.6726,1.35,608.08,0.78,20,G
203.9,12875,138,9.4772,8.8067,1.3667,608.08,0.69,20,G
193.35,12891,138,9.4772,8.1808,1.3833,608.08,-0.5,20,G
187.92,12907,138,9.7902,7.7338,1.4167,608.08,-1.7,20,G
204.49,12907,138,10.103,7.9126,1.45,608.08,-2.19,20,G
199.72,12923,138,10.282,8.6726,1.4833,608.08,-2.58,20,G
153.05,12923,138,10.327,11.444,1.5,608.08,-2.87,20,G
133.55,12939,138,10.371,12.204,1.5,608.08,-2.47,20,G
147.34,12955,137,10.237,11.355,1.4833,607.16,-2.06,20,G
173.48,12955,137,9.969,11.355,1.4333,607.16,-1.25,20,G
147.17,12971,137,9.4772,12.294,1.3667,607.16,-0.15,20,G
116.94,12987,137,9.3431,12.249,1.35,607.16,0.06,20,G
152.63,12987,136,9.656,14.35,1.2667,606.55,-0.53,20,G
203.27,13003,136,10.014,12.294,1.35,606.55,-2.13,20,G
278.85,13003,135,10.416,8.8067,1.4,606.55,-3.12,20,G
305.19,13020,135,10.058,6.4821,1.3667,606.55,-3.11,20,G
289.48,13036,135,9.7007,4.6492,1.3833,606.55,-2.11,20,G
249.37,13036,135,9.5219,5.3198,1.3667,606.55,-0.4,20,G
232.07,13052,135,9.4325,5.9009,1.3667,606.55,1.01,20,G
209.87,13052,134,9.2984,5.8115,1.3333,606.55,1.92,20,G
185.74,13068,134,9.1196,4.5598,1.3167,606.55,1.92,20,G
200.61,13084,134,8.9408,3.3528,1.3,606.55,2.23,20,G
198.37,13084,134,8.7173,4.5151,1.2667,606.55,2.54,20,G
185.77,13100,134,8.6726,5.8562,1.25,606.55,2.04,20,G
168.16,13100,134,8.7173,7.4655,1.25,606.55,1.65,20,G
175.47,13116,134,8.8067,8.0914,1.2833,606.55,0.56,20,G
163.64,13116,134,8.9855,9.3431,1.2833,606.55,-0.44,20,G
153.88,13132,134,9.1196,10.014,1.3167,606.55,-1.53,20,G
165.13,13132,134,9.2537,11.891,1.3333,606.55,-1.82,20,G
156.59,13148,134,9.1643,12.785,1.3167,606.55,-1.42,20,G
183.37,13164,134,8.9408,10.729,1.2833,606.55,-1.21,20,G
216.91,13164,134,8.8514,10.103,1.2667,606.55,-0.3,20,G
214.69,13180,134,8.5831,9.6113,1.2333,606.25,0.6,20,G
219.35,13180,134,8.3149,8.4937,1.2333,606.25,1.41,20,G
226.96,13197,134,7.9573,7.7338,1.2167,606.25,2.51,20,G
226.8,13197,135,7.5997,5.2304,1.15,606.25,3.91,20,G
222.7,13213,135,7.1079,6.5715,1.2667,606.86,5.12,20,G
214.45,13213,134,6.7056,6.7503,1.3667,606.86,5.92,20,G
217.79,13213,134,6.4374,6.1691,1.3167,606.86,6.02,20,E
225.33,13229,134,6.1691,5.3198,1.2833,606.86,6.33,19.444,E
212.89,13229,134,5.8562,4.7386,1.2167,608.08,5.93,19.444,E
219.12,13229,134,5.7221,4.828,1.2,608.08,5.63,19.444,E
223.45,13245,134,5.588,4.6492,1.1833,608.08,5.74,19.444,E
224.55,13245,134,5.4986,4.5151,1.15,608.08,5.14,19.444,E
215.76,13245,134,5.4539,5.7221,1.1333,608.69,4.84,19.444,E
213.93,13261,134,5.3645,4.828,1.1333,608.69,4.84,19.444,E
217.06,13261,134,5.3198,5.6327,1.1167,608.69,4.35,19.444,E
219.13,13261,135,5.3198,4.5151,1.1,608.69,4.35,19.444,E
224.42,13277,135,5.1857,4.7833,1.0667,609.6,5.05,20,E
226.64,13277,135,5.0515,4.828,1.05,609.6,5.35,20,E
222.8,13277,135,4.9621,4.1128,1.0333,609.6,5.55,20,E
192.01,13293,135,4.8727,4.2022,0.98333,609.6,5.56,20,E
234.33,13293,135,4.5598,4.2022,0.96667,610.82,5.76,20,E
263.45,13293,135,4.5598,4.0233,0.95,610.82,6.36,20,E
276.55,13309,135,4.4704,3.7104,0.91667,610.82,7.36,20,E
288.74,13309,135,4.3363,3.3528,0.9,610.82,8.66,20,E
284.89,13309,136,4.2469,2.6375,0.9,612.95,8.96,19.444,E
295.84,13309,136,4.3363,3.3975,0.9,612.95,8.97,19.444,E
312.95,13325,137,4.2916,3.3975,0.88333,612.95,9.17,19.444,E
314.03,13325,137,4.2469,3.5316,0.88333,612.95,9.07,19.444,E
319,13325,138,4.3363,2.7716,0.9,614.17,9.17,19.444,E
320.96,13325,138,4.4257,2.0117,0.91667,614.17,9.07,19.444,E
308,13341,138,4.381,2.1011,0.91667,614.17,8.87,19.444,E
288.22,13341,139,4.2469,1.8776,0.9,614.17,8.48,19.444,E
278.18,13341,139,4.2916,2.1011,0.9,615.7,8.18,19.444,E
265.16,13358,139,4.4257,1.967,0.91667,615.7,7.18,19.444,E
250.95,13358,140,4.6492,2.1458,0.96667,615.7,5.88,19.444,E
245.91,13358,140,4.828,2.9505,1,615.7,4.88,19.444,E
246.81,13358,141,5.0068,2.6375,1.0333,616.92,4.48,19.444,E
253.85,13374,141,5.0515,3.0846,1.05,616.92,4.69,19.444,E
270.95,13374,141,5.0068,3.4422,1.0333,616.92,5.79,19.444,E
302.15,13374,141,4.8727,1.9223,1,616.92,7.19,19.444,E
322.37,13390,141,4.6045,0,0.95,618.13,8.99,19.444,E
318.69,13390,142,4.381,2.0117,0.91667,618.13,10.29,19.444,E
293.76,13390,142,4.2916,0,0.9,618.13,10.59,19.444,E
283.7,13390,142,4.4257,0,0.91667,618.13,9.8,19.444,E
290.56,13406,143,4.6939,0,0.96667,619.35,8.1,19.444,E
294.32,13406,143,5.0068,1.6093,1.05,619.35,6.1,19.444,E
235.37,13406,143,5.1409,2.2352,1.1,619.35,4.7,19.444,E
204.4,13422,144,5.0962,0,1.1667,619.35,3.8,19.444,G
195.53,13422,144,5.1409,0,1.2,619.96,3.41,19.444,G
194.53,13422,144,5.1409,1.6093,1.2,619.96,3.81,19.444,G
199.66,13438,144,5.0962,2.2799,1.1833,619.96,4.31,19.444,G
213.89,13438,144,5.0068,2.5481,1.15,619.96,5.31,19.444,E
236.98,13438,144,4.8727,2.1905,1.1333,621.18,6.51,19.444,E
258.2,13454,145,4.7833,1.3858,1.1167,621.18,7.42,19.444,E
272.21,13454,145,4.7833,0,1.1,621.18,7.92,19.444,E
277.29,13454,145,4.828,1.3858,1.1167,621.18,7.92,19.444,E
263.34,13454,146,4.828,1.4305,1.1167,622.4,7.42,19.444,E
250.41,13470,146,4.8727,1.4305,1.1333,622.4,6.53,19.444,E
231.44,13470,145,4.9174,1.4305,1.15,622.4,5.63,19.444,E
205.55,13470,146,4.9174,2.1458,1.1333,622.4,4.83,19.444,G
193.57,13486,146,4.8727,0,1.1333,623.62,4.23,19.444,G
197.68,13486,146,4.9621,1.7435,1.15,623.62,4.04,19.444,G
194.68,13486,146,4.9621,1.4305,1.15,623.62,4.14,19.444,G
198.86,13502,146,4.9174,2.7716,1.1333,623.62,4.64,19.444,G
203.04,13502,145,4.7386,2.1905,1.1,624.23,5.54,19.444,G
202.16,13502,145,4.4704,1.6987,1.0333,624.23,6.54,19.444,E
206.32,13502,146,4.381,1.8329,1.0167,624.23,6.75,19.444,E
199.34,13518,146,4.3363,1.6093,1.0167,624.23,6.65,19.444,G
188.41,13518,146,4.4704,0,1.05,625.14,5.65,19.444,G
173.34,13518,145,4.6492,0,1.0833,625.14,4.15,19.444,G
163.43,13535,145,4.7386,2.2352,1.1167,625.14,3.15,19.444,G
155.35,13535,145,4.9621,2.9058,1.15,625.14,2.25,19.444,G
152.44,13535,145,5.0068,1.654,1.1667,626.06,2.16,19.444,G
145.44,13535,145,5.0515,2.5034,1.1667,626.06,2.36,19.444,G
143.54,13551,145,5.0962,3.4869,1.1833,626.06,2.36,19.444,G
144.52,13551,144,5.1409,3.2187,1.2,626.06,2.56,19.444,G
137.61,13551,144,5.1857,2.9505,1.2,626.67,2.56,19.444,G
129.6,13567,144,5.2304,3.3081,1.2167,626.67,2.36,19.444,G
125.68,13567,144,5.2304,3.9786,1.2167,626.67,2.17,19.444,G
122.77,13567,144,5.2304,0,1.2167,626.67,1.97,19.444,G
122.72,13583,145,5.3645,2.6822,1.25,626.97,1.47,19.444,G
111.76,13583,144,5.5433,3.6657,1.3,626.97,0.87,19.444,G
91.76,13583,144,5.8115,4.1575,1.35,626.97,-0.03,19.444,G
89.7,13599,144,6.3032,5.0515,1.4667,626.97,-1.53,19.444,G
92.63,13599,144,6.6609,4.2022,1.5,627.28,-2.13,19.444,G
97.62,13615,144,6.8844,4.828,1.25,627.28,-2.33,19.444,G
100.6,13615,144,7.0632,5.1409,1.2167,627.28,-1.93,19.444,G
103.67,13631,144,7.1526,4.9621,1.2167,627.28,-0.83,19.444,G
80.75,13631,144,7.1526,4.381,1.2167,627.28,-0.32,19.444,G
51.74,13631,144,7.1526,4.6939,1.2,627.28,-0.62,19.444,G
32.68,13647,143,7.3314,3.9786,0.88333,627.28,-1.22,19.444,G
0,13647,143,7.6891,4.9174,0.13333,627.28,-2.52,19.444,B
0,13663,143,8.0914,6.2138,0,626.97,-3.62,19.444,B
0,13663,142,8.1808,5.6327,0,626.97,-3.72,19.444,B
0,13679,142,8.002,5.2751,0,626.97,-2.92,19.444,B
0,13679,142,7.8679,6.4374,0,626.97,-1.72,19.444,B
0,13695,141,7.7338,8.4043,0,625.75,-0.82,19.444,B
0,13695,141,7.8232,9.0302,0,625.75,-1.02,19.444,B
0,13712,140,8.1361,8.6726,0,625.75,-2.32,19.444,B
0,13712,140,8.3596,9.1643,0,625.75,-3.32,19.444,B
0,13728,139,8.4043,8.449,0,624.23,-3.62,19.444,B
0,13728,138,8.449,8.8514,0,624.23,-3.82,19.444,B
0,13744,138,8.6726,10.64,0,624.23,-3.91,19.444,B
0,13760,137,8.8514,8.6279,0,624.23,-4.11,19.444,B
0,13760,137,9.2984,7.6444,0,622.71,-5.11,19.444,B
0,13776,136,9.7454,6.4821,0,622.71,-5.61,19.444,B
0,13776,136,10.371,7.3314,0,622.71,-6.21,19.444,B
0,13792,136,10.997,8.002,0,622.71,-7.1,19.444,B
0,13808,135,11.668,8.2255,0,621.18,-7.9,19.444,B
0,13824,135,12.428,7.3761,0,621.18,-8.4,19.444,B
0,13824,134,12.875,8.8514,0,621.18,-7.9,19.444,B
0,13840,133,12.875,9.3878,0,621.18,-6.7,19.444,B
0,13856,133,12.294,9.3431,0,619.66,-5.1,19.444,B
0,13873,131,12.07,7.4655,0,619.66,-3.5,19.444,B
0,13873,131,11.847,7.8232,0,619.66,-1.91,19.444,B
0,13889,130,11.578,8.9408,0,619.66,-1.31,19.444,B
0,13905,130,11.578,8.4937,0,618.13,-1.01,19.444,B
0,13921,129,11.444,8.1808,0,618.13,-0.71,19.444,B
0,13921,128,11.087,9.2984,0,618.13,-0.31,19.444,B
0,13937,128,10.505,9.2537,0,618.13,0.99,19.444,B
0,13937,127,9.8796,8.8514,0,617.22,1.98,19.444,B
59.78,13953,126,9.7454,9.4772,0.93333,617.22,1.88,19.444,G
89.72,13969,126,9.656,8.9408,1.4833,617.22,1.48,19.444,G
128.65,13969,126,9.7007,8.7173,1.4833,617.22,-0.02,19.444,G
150.6,13985,126,9.7902,8.2255,1.5,617.22,-0.42,19.444,G
159.55,14001,126,9.7007,7.5997,1.4833,617.22,-0.32,19.444,G
158.5,14001,125,9.5666,8.0467,1.4667,617.22,-0.32,19.444,G
151.46,14017,125,9.4325,8.5384,1.45,617.22,0.18,19.444,G
247.41,14017,125,9.3431,7.6444,1.4333,617.22,0.58,19.444,G
245.28,14033,125,9.4325,7.2867,1.4333,617.22,0.47,19.444,G
243.18,14033,125,9.5666,7.5103,1.4667,617.22,0.47,19.444,G
221.13,14050,125,9.3878,7.2867,1.4333,617.22,0.87,19.444,G
206.06,14066,125,9.2984,6.4821,1.4167,617.22,0.67,19.444,G
219.9,14066,125,9.209,6.0797,1.4,617.22,1.47,19.444,G
234.87,14082,125,8.9408,5.9009,1.35,617.22,2.47,19.444,G
236.87,14082,125,8.5831,5.7668,1.3333,617.22,3.47,19.444,G
191.89,14098,125,8.2702,6.3032,1.2833,617.22,4.06,19.444,G
178.82,14098,125,8.2255,6.8844,1.2667,617.22,3.86,19.444,G
175.62,14114,125,8.6279,6.348,1.3167,617.22,2.56,19.444,G
188.43,14114,126,8.9855,6.4374,1.3333,617.22,0.56,19.444,G
199.26,14130,126,9.209,7.4208,1.4,617.22,-0.44,19.444,G
191.14,14146,126,9.209,6.7503,1.3833,617.22,-0.84,19.444,G
160.11,14146,126,8.9408,4.828,1.35,617.22,-0.14,19.444,G
140.02,14162,126,8.8067,4.7833,1.3667,617.22,0.55,19.444,G
144.7,14162,126,9.2984,4.6939,1.45,618.13,0.25,19.444,G
144.39,14178,126,9.7007,6.4821,1.4833,618.13,-0.35,19.444,G
144.27,14178,126,9.7454,7.4208,1.4833,618.13,-1.05,19.444,G
131.13,14194,126,9.6113,8.2702,1.4667,618.13,-0.86,19.444,G
125.02,14210,125,9.3878,7.4655,1.4333,618.74,-0.06,19.444,G
161.91,14210,126,9.1643,9.0302,1.3833,618.74,1.14,19.444,G
198.93,14227,126,8.9408,8.8961,1.3667,618.74,2.04,19.444,G
224.84,14227,126,8.7173,7.8679,1.3333,618.74,2.63,19.444,G
212.79,14243,126,8.5384,8.0467,1.3,618.74,2.73,19.444,G
211.79,14243,126,8.4043,7.5997,1.2833,618.74,2.63,19.444,G
207.7,14259,126,8.2255,7.4208,1.25,618.74,2.33,19.444,G
206.62,14259,127,8.0467,7.0632,1.2333,618.74,2.22,19.444,G
198.64,14275,127,7.9573,6.8397,1.2167,618.74,2.32,19.444,G
198.56,14275,127,7.8679,7.4208,1.2,618.74,2.12,19.444,G
189.41,14291,127,7.8679,7.3761,1.2,618.74,1.72,19.444,G
186.44,14291,128,7.8232,7.555,1.2,618.74,1.42,19.444,G
